iter	Logloss
0	0.6902073622
1	0.6867595315
2	0.6836562753
3	0.6804100871
4	0.6770890355
5	0.6737985611
6	0.6705090404
7	0.6671652794
8	0.6629743576
9	0.6596509218
10	0.6566843987
11	0.6542819738
12	0.6514171362
13	0.6484928131
14	0.6458755136
15	0.6426620483
16	0.6396290064
17	0.6362916827
18	0.6332612038
19	0.630805254
20	0.6273054481
21	0.6243131757
22	0.6210724115
23	0.6182998419
24	0.6146987081
25	0.6121787429
26	0.6087990403
27	0.6061489582
28	0.6028435826
29	0.6004463434
30	0.5977947712
31	0.594235301
32	0.5912899971
33	0.588938117
34	0.586176157
35	0.5839693546
36	0.581410408
37	0.5788151622
38	0.5756485462
39	0.573210597
40	0.5706860423
41	0.5681684017
42	0.5652153492
43	0.5621864796
44	0.5594041348
45	0.5569050908
46	0.5547132492
47	0.5518742204
48	0.5497130752
49	0.547254622
50	0.5451461077
51	0.5429496169
52	0.540628612
53	0.5386664867
54	0.5362759829
55	0.5339574218
56	0.5317813158
57	0.5296055079
58	0.5277533531
59	0.5254530311
60	0.522934556
61	0.5202121735
62	0.5171974301
63	0.5149586797
64	0.5127785206
65	0.5100919008
66	0.5078732967
67	0.5058481693
68	0.5038725138
69	0.5006888509
70	0.4983722568
71	0.4962328672
72	0.4946423173
73	0.4926382601
74	0.4902799129
75	0.4885981679
76	0.4867710471
77	0.4846584797
78	0.4826753438
79	0.4796417952
80	0.47785151
81	0.4757036567
82	0.4736663103
83	0.4719560444
84	0.4699605107
85	0.4679524302
86	0.4650242329
87	0.4629301429
88	0.4609914422
89	0.4591684937
90	0.4572406411
91	0.455702126
92	0.4539265335
93	0.4516415
94	0.4491493106
95	0.4471514821
96	0.4454441071
97	0.44337672
98	0.4414143562
99	0.4396647215
100	0.437921524
101	0.4354676008
102	0.4329729378
103	0.4311425984
104	0.4286332726
105	0.4270036817
106	0.4247465134
107	0.4228054583
108	0.4211022854
109	0.4192017913
110	0.4174798429
111	0.4154399633
112	0.4136747122
113	0.4120641351
114	0.4105872214
115	0.4087335765
116	0.4071802497
117	0.4054379463
118	0.4037044942
119	0.4021199346
120	0.4005725086
121	0.3988676965
122	0.3971081674
123	0.3954866529
124	0.3938519359
125	0.3922244608
126	0.3907979727
127	0.3895107806
128	0.3872835934
129	0.3856624067
130	0.3835842311
131	0.382356286
132	0.3806030154
133	0.3791273236
134	0.377646178
135	0.3761367798
136	0.3747056723
137	0.373170346
138	0.3717624545
139	0.3705371618
140	0.3690093458
141	0.3672751188
142	0.3658474386
143	0.3646350503
144	0.3631685674
145	0.3616639376
146	0.360082984
147	0.3589727879
148	0.3570492268
149	0.3558182418
150	0.3540290594
151	0.3525699675
152	0.3512611985
153	0.3502160907
154	0.3489060104
155	0.3477560282
156	0.3459331691
157	0.3446628451
158	0.3433757424
159	0.3419644833
160	0.3404196501
161	0.3389944732
162	0.3376699686
163	0.3363010883
164	0.334746778
165	0.3335238695
166	0.3321412504
167	0.3309182525
168	0.3296624422
169	0.3284441829
170	0.3271757066
171	0.3257823586
172	0.3244394064
173	0.3233659863
174	0.3222067654
175	0.3210382462
176	0.3197879791
177	0.3180332184
178	0.3168275356
179	0.3157887459
180	0.3145877719
181	0.3132630587
182	0.312076509
183	0.3108366132
184	0.3098900914
185	0.308688283
186	0.3075527549
187	0.306239903
188	0.3051513731
189	0.3038815558
190	0.3027617335
191	0.3017380536
192	0.300264746
193	0.2989057302
194	0.2974370122
195	0.2958076894
196	0.294822067
197	0.2937097847
198	0.2924213707
199	0.2911128998
200	0.2900425196
201	0.2887892723
202	0.2874166965
203	0.2862409353
204	0.2850390375
205	0.2838475704
206	0.2828502059
207	0.2817158103
208	0.2805223763
209	0.279543221
210	0.2782656252
211	0.2771840692
212	0.2762136757
